replicate	nipagin	time	OD	background	OD_corrected
c	0.0002	2	0.101	0.092604167	0.008395833
c	0.00002	2	0.094	0.092604167	0.001395833
c	0.000002	2	0.093	0.092604167	0.000395833
d	0.2	2	0.088	0.092604167	-0.004604167
d	0.02	2	0.085	0.092604167	-0.007604167
d	0.002	2	0.085	0.092604167	-0.007604167
d	0.0002	2	0.086	0.092604167	-0.006604167
d	0.00002	2	0.093	0.092604167	0.000395833
d	0.000002	2	0.095	0.092604167	0.002395833
e	0.2	2	0.099	0.092604167	0.006395833
e	0.02	2	0.089	0.092604167	-0.003604167
e	0.002	2	0.086	0.092604167	-0.006604167
e	0.0002	2	0.089	0.092604167	-0.003604167
e	0.00002	2	0.086	0.092604167	-0.006604167
e	0.000002	2	0.096	0.092604167	0.003395833
f	0.2	2	0.096	0.092604167	0.003395833
f	0.02	2	0.093	0.092604167	0.000395833
f	0.002	2	0.086	0.092604167	-0.006604167
f	0.0002	2	0.09	0.092604167	-0.002604167
f	0.00002	2	0.088	0.092604167	-0.004604167
f	0.000002	2	0.099	0.092604167	0.006395833
g	0.2	2	0.091	0.092604167	-0.001604167
g	0.02	2	0.086	0.092604167	-0.006604167
g	0.002	2	0.084	0.092604167	-0.008604167
g	0.0002	2	0.087	0.092604167	-0.005604167
g	0.00002	2	0.084	0.092604167	-0.008604167
g	0.000002	2	0.093	0.092604167	0.000395833
h	0.2	2	0.089	0.092604167	-0.003604167
h	0.02	2	0.086	0.092604167	-0.006604167
h	0.002	2	0.09	0.092604167	-0.002604167
h	0.0002	2	0.092	0.092604167	-0.000604167
h	0.00002	2	0.089	0.092604167	-0.003604167
h	0.000002	2	0.096	0.092604167	0.003395833
a	0.2	3	0.095	0.092604167	0.002395833
a	0.02	3	0.096	0.092604167	0.003395833
a	0.002	3	0.098	0.092604167	0.005395833
a	0.0002	3	0.107	0.092604167	0.014395833
a	0.00002	3	0.105	0.092604167	0.012395833
a	0.000002	3	0.101	0.092604167	0.008395833
b	0.2	3	0.093	0.092604167	0.000395833
b	0.02	3	0.09	0.092604167	-0.002604167
b	0.002	3	0.093	0.092604167	0.000395833
b	0.0002	3	0.1	0.092604167	0.007395833
b	0.00002	3	0.089	0.092604167	-0.003604167
b	0.000002	3	0.11	0.092604167	0.017395833
c	0.2	3	0.091	0.092604167	-0.001604167
c	0.02	3	0.091	0.092604167	-0.001604167
c	0.002	3	0.107	0.092604167	0.014395833
c	0.0002	3	0.101	0.092604167	0.008395833
c	0.00002	3	0.096	0.092604167	0.003395833
c	0.000002	3	0.095	0.092604167	0.002395833
d	0.2	3	0.09	0.092604167	-0.002604167
d	0.02	3	0.087	0.092604167	-0.005604167
d	0.002	3	0.087	0.092604167	-0.005604167
d	0.0002	3	0.089	0.092604167	-0.003604167
d	0.00002	3	0.095	0.092604167	0.002395833
d	0.000002	3	0.1	0.092604167	0.007395833
e	0.2	3	0.099	0.092604167	0.006395833
e	0.02	3	0.09	0.092604167	-0.002604167
e	0.002	3	0.088	0.092604167	-0.004604167
e	0.0002	3	0.09	0.092604167	-0.002604167
e	0.00002	3	0.086	0.092604167	-0.006604167
e	0.000002	3	0.098	0.092604167	0.005395833
f	0.2	3	0.095	0.092604167	0.002395833
f	0.02	3	0.095	0.092604167	0.002395833
f	0.002	3	0.088	0.092604167	-0.004604167
f	0.0002	3	0.093	0.092604167	0.000395833
f	0.00002	3	0.089	0.092604167	-0.003604167
f	0.000002	3	0.1	0.092604167	0.007395833
g	0.2	3	0.09	0.092604167	-0.002604167
g	0.02	3	0.087	0.092604167	-0.005604167
g	0.002	3	0.086	0.092604167	-0.006604167
g	0.0002	3	0.088	0.092604167	-0.004604167
g	0.00002	3	0.087	0.092604167	-0.005604167
g	0.000002	3	0.096	0.092604167	0.003395833
h	0.2	3	0.09	0.092604167	-0.002604167
h	0.02	3	0.088	0.092604167	-0.004604167
h	0.002	3	0.092	0.092604167	-0.000604167
h	0.0002	3	0.093	0.092604167	0.000395833
h	0.00002	3	0.091	0.092604167	-0.001604167
h	0.000002	3	0.096	0.092604167	0.003395833
a	0.2	4	0.094	0.092604167	0.001395833
a	0.02	4	0.1	0.092604167	0.007395833
a	0.002	4	0.102	0.092604167	0.009395833
a	0.0002	4	0.109	0.092604167	0.016395833
a	0.00002	4	0.109	0.092604167	0.016395833
a	0.000002	4	0.106	0.092604167	0.013395833
b	0.2	4	0.092	0.092604167	-0.000604167
b	0.02	4	0.094	0.092604167	0.001395833
b	0.002	4	0.096	0.092604167	0.003395833
b	0.0002	4	0.105	0.092604167	0.012395833
b	0.00002	4	0.094	0.092604167	0.001395833
b	0.000002	4	0.115	0.092604167	0.022395833
c	0.2	4	0.092	0.092604167	-0.000604167
c	0.02	4	0.094	0.092604167	0.001395833
c	0.002	4	0.112	0.092604167	0.019395833
c	0.0002	4	0.106	0.092604167	0.013395833
c	0.00002	4	0.101	0.092604167	0.008395833
c	0.000002	4	0.099	0.092604167	0.006395833
d	0.2	4	0.089	0.092604167	-0.003604167
d	0.02	4	0.089	0.092604167	-0.003604167
d	0.002	4	0.09	0.092604167	-0.002604167
d	0.0002	4	0.092	0.092604167	-0.000604167
d	0.00002	4	0.098	0.092604167	0.005395833
d	0.000002	4	0.102	0.092604167	0.009395833
e	0.2	4	0.099	0.092604167	0.006395833
e	0.02	4	0.093	0.092604167	0.000395833
e	0.002	4	0.091	0.092604167	-0.001604167
e	0.0002	4	0.094	0.092604167	0.001395833
e	0.00002	4	0.092	0.092604167	-0.000604167
e	0.000002	4	0.102	0.092604167	0.009395833
f	0.2	4	0.095	0.092604167	0.002395833
f	0.02	4	0.1	0.092604167	0.007395833
f	0.002	4	0.094	0.092604167	0.001395833
f	0.0002	4	0.099	0.092604167	0.006395833
f	0.00002	4	0.097	0.092604167	0.004395833
f	0.000002	4	0.11	0.092604167	0.017395833
g	0.2	4	0.09	0.092604167	-0.002604167
g	0.02	4	0.091	0.092604167	-0.001604167
g	0.002	4	0.09	0.092604167	-0.002604167
g	0.0002	4	0.094	0.092604167	0.001395833
g	0.00002	4	0.091	0.092604167	-0.001604167
g	0.000002	4	0.099	0.092604167	0.006395833
h	0.2	4	0.09	0.092604167	-0.002604167
h	0.02	4	0.094	0.092604167	0.001395833
h	0.002	4	0.099	0.092604167	0.006395833
h	0.0002	4	0.101	0.092604167	0.008395833
h	0.00002	4	0.1	0.092604167	0.007395833
h	0.000002	4	0.107	0.092604167	0.014395833
a	0.2	5	0.093	0.092604167	0.000395833
a	0.02	5	0.124	0.092604167	0.031395833
a	0.002	5	0.125	0.092604167	0.032395833
a	0.0002	5	0.127	0.092604167	0.034395833
a	0.00002	5	0.129	0.092604167	0.036395833
a	0.000002	5	0.127	0.092604167	0.034395833
b	0.2	5	0.093	0.092604167	0.000395833
b	0.02	5	0.133	0.092604167	0.040395833
b	0.002	5	0.117	0.092604167	0.024395833
b	0.0002	5	0.134	0.092604167	0.041395833
b	0.00002	5	0.128	0.092604167	0.035395833
b	0.000002	5	0.132	0.092604167	0.039395833
c	0.2	5	0.092	0.092604167	-0.000604167
c	0.02	5	0.117	0.092604167	0.024395833
c	0.002	5	0.128	0.092604167	0.035395833
c	0.0002	5	0.149	0.092604167	0.056395833
c	0.00002	5	0.163	0.092604167	0.070395833
c	0.000002	5	0.135	0.092604167	0.042395833
d	0.2	5	0.089	0.092604167	-0.003604167
d	0.02	5	0.103	0.092604167	0.010395833
d	0.002	5	0.107	0.092604167	0.014395833
d	0.0002	5	0.112	0.092604167	0.019395833
d	0.00002	5	0.114	0.092604167	0.021395833
d	0.000002	5	0.139	0.092604167	0.046395833
e	0.2	5	0.101	0.092604167	0.008395833
e	0.02	5	0.106	0.092604167	0.013395833
e	0.002	5	0.107	0.092604167	0.014395833
e	0.0002	5	0.112	0.092604167	0.019395833
e	0.00002	5	0.108	0.092604167	0.015395833
e	0.000002	5	0.139	0.092604167	0.046395833
f	0.2	5	0.096	0.092604167	0.003395833
f	0.02	5	0.147	0.092604167	0.054395833
f	0.002	5	0.13	0.092604167	0.037395833
f	0.0002	5	0.209	0.092604167	0.116395833
f	0.00002	5	0.131	0.092604167	0.038395833
f	0.000002	5	0.215	0.092604167	0.122395833
g	0.2	5	0.091	0.092604167	-0.001604167
g	0.02	5	0.103	0.092604167	0.010395833
g	0.002	5	0.106	0.092604167	0.013395833
g	0.0002	5	0.109	0.092604167	0.016395833
g	0.00002	5	0.11	0.092604167	0.017395833
g	0.000002	5	0.132	0.092604167	0.039395833
h	0.2	5	0.09	0.092604167	-0.002604167
h	0.02	5	0.131	0.092604167	0.038395833
h	0.002	5	0.144	0.092604167	0.051395833
h	0.0002	5	0.149	0.092604167	0.056395833
h	0.00002	5	0.145	0.092604167	0.052395833
h	0.000002	5	0.181	0.092604167	0.088395833
a	0.2	6	0.093	0.092604167	0.000395833
a	0.02	6	0.17	0.092604167	0.077395833
a	0.002	6	0.191	0.092604167	0.098395833
a	0.0002	6	0.209	0.092604167	0.116395833
a	0.00002	6	0.206	0.092604167	0.113395833
a	0.000002	6	0.206	0.092604167	0.113395833
b	0.2	6	0.093	0.092604167	0.000395833
b	0.02	6	0.149	0.092604167	0.056395833
b	0.002	6	0.241	0.092604167	0.148395833
b	0.0002	6	0.238	0.092604167	0.145395833
b	0.00002	6	0.19	0.092604167	0.097395833
b	0.000002	6	0.255	0.092604167	0.162395833
c	0.2	6	0.091	0.092604167	-0.001604167
c	0.02	6	0.162	0.092604167	0.069395833
c	0.002	6	0.231	0.092604167	0.138395833
c	0.0002	6	0.232	0.092604167	0.139395833
c	0.00002	6	0.24	0.092604167	0.147395833
c	0.000002	6	0.251	0.092604167	0.158395833
d	0.2	6	0.089	0.092604167	-0.003604167
d	0.02	6	0.169	0.092604167	0.076395833
d	0.002	6	0.191	0.092604167	0.098395833
d	0.0002	6	0.227	0.092604167	0.134395833
d	0.00002	6	0.188	0.092604167	0.095395833
d	0.000002	6	0.242	0.092604167	0.149395833
e	0.2	6	0.099	0.092604167	0.006395833
